Journal Name,Journal Absract
FORMAL ASPECTS OF COMPUTING,"This journal aims to publish contributions at the junction of theory and practice.  The objective is to disseminate applicable research.  Thus new theoretical contributions are welcome where they are motivated by potential application; applications of existing formalisms are of interest if they show something novel about the approach or application.

The term ""formal methods"" has been applied to a range of notations, theories and tools.  There is no doubt that some of these have already had a significant impact on practical applications of computing.  Indeed, it is interesting to note that once something is adopted into practical use it is no longer thought of as a formal method.  Apart from widely used notations such as those for syntax and state machines, there have been significant applications of specification notations, development methods and tools both for proving general results and for searching for specific conditions.  However, the most profound and lasting influence of the formal approach is the way it has illuminated fundamental concepts like those of communication.

In this spirit, the principal aim of this journal is to promote the growth of computing science, to show its relation to practice and to stimulate applications of apposite formalisms to practical problems.  One significant challenge is to show how a range of formal models can be related to each other. 

In particular, the scope of Formal Aspects of Computing includes, 
well-founded notations for the description of systems
verifiable design methods
elucidation of fundamental computational concepts
approaches to fault-tolerant design
theorem-proving support
state-exploration tools
formal underpinning of widely used notations and methods
formal approaches to requirements analysis

Normal scientific standards are expected of all contributors: papers must be soundly based, place their contribution in context and provide adequate references.  Material which is already widely available (e.g. as conference proceedings) will not normally be considered unless the work has been further developed and refined"
FRONTIERS OF COMPUTER SCIENCE,"Frontiers of Computer Science aims to provide a forum for the publication of peer-reviewed papers to promote rapid communication and exchange between computer scientists. The journal publishes research papers and review articles in a wide range of topics, including: architecture, software, artificial intelligence, theoretical computer science, networks and communication, information systems, multimedia and graphics, information security, interdisciplinary, etc. The journal especially encourages papers from new emerging and multidisciplinary areas, as well as papers reflecting the international trends of research and development and on special topics reporting progress made by Chinese computer scientists"
FUNDAMENTA INFORMATICAE,"fundamenta Informaticae is an international journal publishing
original research results in all areas of theoretical computer
science.  Papers are encouraged contributing:

solutions by mathematical methods of problems emerging in computer science,
solutions of mathematical problems inspired by computer science,
application studies that follow the solutions in the fields mentioned above.
Topics of interest include:

theory of computing,
complexity theory,
designand analysis of algorithms,
programming language theory,
semantics and verification of programs,
computer science logic,
database theory,
logic programming and automated deduction,
formal languages and automata,
concurrency and distributed computing,
cryptography and security,
theoretical issues in artificial intelligence,
data mining and knowledge discovery,
machine learning and pattern recognition,
algorithmic game theory,
theory of multi-agent systems,
bioinformatics and computational biology,
natural computing,
neural networks,
quantum computing,
soft computing including rough sets and granular computing."
FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE,"The Aims and Scope of FGCS cover new developments in:

[1] Applications and application support:

Novel applications for novel e-infrastructures
Complex workflow applications
Big Data registration, processing and analyses
Problem solving environments and virtual laboratories
Semantic and knowledge based systems
Collaborative infrastructures and virtual organizations
Methods for high performance and high throughput computing
Urgent computing
Scientific, industrial, social and educational implications
Education
[2] Methods and tools:

Tools for infrastructure development and monitoring
Distributed dynamic resource management and scheduling
Information management
Protocols and emerging standards
Methods and tools for internet computing
Security aspects
[3] Theory:

Process specification;
Program and algorithm design
Theoretical aspects of large scale communication and computation
Scaling and performance theory
Protocols and their verification"
GENETIC PROGRAMMING AND EVOLVABLE MACHINES,"The journal of Genetic Programming and Evolvable Machines is devoted to reporting innovative and significant progress in automatic evolution of software and hardware. Methods for artificial evolution of active components, such as programs or machines, are rapidly developing branches of adaptive computation and adaptive engineering. They entail the development, evaluation and application of methods that mirror the process of neo-Darwinian evolution and produce as a result computational expressions such as algorithms or machines such as mechanical or electronic devices that actively process environmental information and transform their environment. In addition to its main topics, the journal covers related topics such as evolutionary algorithms with variable-size genomes, alternate methods of program induction, approaches to engineering systems development based on embryology, morphogenesis or other techniques inspired by adaptive natural systems."
GEOINFORMATICA,"GeoInformatica is located at the confluence of two rapidly advancing domains: Computer Science and Geographic Information Science; nowadays, Earth studies use more and more sophisticated computing theory and tools, and computer processing of Earth observations through Geographic Information Systems (GIS) attracts a great deal of attention from governmental, industrial and research worlds.

This journal aims to promote the most innovative results coming from the research in the field of computer science applied to geographic information systems. Thus, GeoInformatica provides an effective forum for disseminating original and fundamental research and experience in the rapidly advancing area of the use of computer science for spatial studies.

Many topics in the field of computer science involve a very specific approach in the domain of geographic information systems; therefore the topics that are addressed include, but are not limited to:
Spatial Modeling: spatial data models integrating the geometric and semantic aspects of geographic information, requirements analysis for GIS applications, GIS performance modeling and evaluation, qualitative aspects of geographic information, impact of spatial information handling on computing models.
Spatial Databases: spatio-temporal data structures, spatial data storage and indexing techniques, query processing and optimization, spatial database knowledge discovery, GIS metadata, multidatabase GIS.
Human-Computer Interfaces for GIS: graphic user interfaces for GIS, graphic browser interfaces for navigating spatial databases, multimedia applied to GIS, virtual reality for representing spatial data.
Digital Cartography at the Core of GIS: multidimensional digital map display technology, cartographic generalization for multiscale representation, computer-aided cartographic design, automated map aesthetics management, dynamic cartography, animated map technology.
Space Imagery in GIS: remote sensing, spatial image processing, shape recognition from aerial and satellite images, spatial information measurement and retrieval.
Parallelism, Distribution and Communication through GIS: parallel, distributed processing of spatial data, client-server architecture for GIS, GIS and cooperative work, manipulation of geographic information over the Internet, interoperability among heterogeneous GIS, electronic geographic data interchange standards, concurrent and distributed spatial objects.
Spatio-Temporal Reasoning: reasoning in GIS, spatio-temporal knowledge processing, fuzzy spatio-temporal information, artificial intelligence in GIS, genetic and neural algorithms in GIS, moving objects within GIS, real-time GIS, active spatio-temporal objects.

GeoInformatica is focused on Advances in Computer Science for GIS as noted in its title. Usually reviewers expect computer science advances for GIS to be general, e.g., applicable to more than one application domain.

Reviewers have often found the following types of papers outside GeoInformatica's scope: 
(a) application of a previously known computer science concept or application of software to a new GIS problem, and 
(b) computer science advances with a tenuous connection to GIS problems."
GRAPHICAL MODELS,"Graphical Models is recognized internationally as a highly rated, top tier journal and is focused on the creation, geometric processing, animation, and visualization of graphical models and on their applications in engineering, science, culture, and entertainment. GMOD provides its readers with thoroughly reviewed and carefully selected papers that disseminate exciting innovations, that teach rigorous theoretical foundations, that propose robust and efficient solutions, or that describe ambitious systems or applications in a variety of topics.

We invite papers in five categories: research (contributions of novel theoretical or practical approaches or solutions), survey (opinionated views of the state-of-the-art and challenges in a specific topic), system (the architecture and implementation details of an innovative architecture for a complete system that supports model/animation design, acquisition, analysis, visualization?), application (description of a novel application of know techniques and evaluation of its impact), or lecture (an elegant and inspiring perspective on previously published results that clarifies them and teaches them in a new way).

GMOD offers its authors an accelerated review, feedback from experts in the field, immediate online publication of accepted papers, no restriction on color and length (when justified by the content) in the online version, and a broad promotion of published papers. A prestigious group of editors selected from among the premier international researchers in their fields oversees the review process.

Because timely publication of research results is important for the careers of our authors and for the vitality of the field, GMOD is putting in place its R3 (Rapid Response Review) system, which strives to provide authors with a preliminary decision within an average of one month after submission.

The following are examples of topics typically covered in GMOD:

Shape Processing: Analysis of local properties. Averaging and relative convex hulls. Correspondence, registration, matching and retrieval. Detection of ridges, features, patterns, and symmetries. Measures of volume, compactness, or convexity. Morphological operations (offsetting, rounding, tightening). Segmentation. Similarity measures, comparison, variability statistics.

Points: Analysis. Interpolation. Multi-resolution. Rendering. Segmentation. Separation.

Curves: Parametric. Implicit. Fitting. Smoothing, Subdivision. Constant length. Extraction. Segmentation. Matching. Comparison. Averaging. Curves on surfaces. Rounding, Offsetting, Regularity.

Skeletons: Animation and Skinning. Medial axis or curve skeleton (construction, approximation, properties)

Meshes: Compact data structures. Feature extraction and replication. Feature exaggeration. Levels of Detail. Simplification. Shape measures. Parameterization. Re-sampling. Smoothing. Subdivision. Volume/area preservation. Feature sharpening.

Surfaces: Implicit. Parametric. Curvature. Hole filling. Geodesics. Intersection. Interpolating. Reconstruction. Sampling.

Solids: Boolean operations. Boundary representations. CSG. BSP. Non-manifold models. Inhomogeneous models. Non-manifold models and complexes. Offsets. Reconstruction from drawings, images, videos. Repair. Rounding and smoothing. Sweeps.

Volumes/Images/Video: Matching. Searching. Filtering. Compression. Segmentation. Stitching. Merging. In-painting. Isosurfaces. Rendering.

Design: Constraint-based. Feature-based. Variational. Direct manipulation. Haptics. Multimodal interfaces. Multiuser interfaces. Pen-based Procedural models and patterns.

Motion: Rigid, affine, steady. Analysis. Capture. Pattern extraction. Synthesis. Constrained. Blending.

Morphing: Curves. Graphs. Images. Volumes. Meshes. Solids. Surfaces. In-betweening.

Deformation: Capture/acquisition. Direct manipulation. Free-form,. Image/volume warping. Interpolating meshes. Preservation of local details.

Animation: Design. Evaluation. Behavioral. Retargeting. Data driven. Humans. Animals. Face. Hand. Gate. Swimming. Constrained. Preserving volume, area, or length. Optimization.

Simulation: Collision and friction. Articulated and flexible shapes. Physically based behavior. Cloth. Crowds and flocks. Deposition, erosion, and biological growth. Fluid. Hair. Viscoelastic deformations. Sound.

Rendering: Illustrative (non-photorealistic). Image-based. Artistic. Global Illumination. Occlusion. Perception. Perspective. Acceleration of radiosity./raytracing. Reflectance and Shading Models. Relighting. Silhouettes. Shadows. Texture Mapping. Visibility.

Hardware Acceleration: Collision and visibility queries. Frame buffer algorithms. GPUs and parallelization. Model Acquisition and Scanning. Ray Casting/Tracing Hardware.

Model Dissemination: Shared models. Collaborative access. Geometry compression. Progressive/selective refinements. Streaming scenes and animations. Watermarking.

Tool: Artificial intelligence. Computational geometry. Data structures. Differential geometry. Genetic algorithms. Linear algebra . Machine learning. Mathematical morphology. Numerical accuracy. Numerical analysis. Optimization. Signal Processing. Topology. Wavelets.

Application: Manufacturing. Robotics. Architecture and urban simulation. Medicine. Biology. Natural phenomena. Cinema. Videogames. Education. Cultural Heritage. Typography. Scientific Computing."
Human Computer Interaction,Professionals with an interest in the scientific implications and practical relevance of how computer systems should be designed and/or how they are actually used.
HUMAN-CENTRIC COMPUTING AND INFORMATION SCIENCES,"In Human-centric Computing and Information Sciences (HCIS), KIPS-CSWRG plans to publish high quality papers which cover the various theories and practical applications related to human-centric computing and information sciences. The published papers are expected to present results of significant value to solve the various problems with application services and other problems which are within the scope of HCIS. In addition, we expect they will trigger further related research and technological improvements relevant to our future lives.

Human-centric Computing and Information Sciences stands for the continuously evolving and converging information technologies, including:

Human-computer interaction and User-centered Design
Social computing and social intelligence
Ubiquitous computing and mobile systems
Gaming and Semantic Systems
Computer-assisted Learning and Cognition
Privacy, Security and trust management
Information Visualization and Visual Analytics
Foundations of Information Science, such as Information Theory, AI, and Soft Computing
Implementations and Information Technology
Applications with Image Processing, Computer Vision Systems, Language and Search Engine Design, etc.
These are the hot topics that will satisfy the ever-changing needs of a world-wide audience. In approximately 5 to 10 years the editors plan to include new emerging topics to the journal scope, in order to make the journal reflect future generations' IT related human-centric computing and information sciences."
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,"The IBM Journal of Research and Development is a peer-reviewed technical journal, published bimonthly, which features the work of authors in the science, technology and engineering of information systems. Papers are written for the worldwide scientific research and development community and knowledgeable professionals.

Submitted papers are welcome from the IBM technical community and from non-IBM authors on topics relevant to the scientific and technical content of the Journal."
IEEE ANNALS OF THE HISTORY OF COMPUTING,"From the analytical engine to the supercomputer, from Pascal to von Neumann, from punched cards to CD-ROMs -- theIEEE Annals of the History of Computing covers the breadth of computer history. Featuring scholarly articles by leading computer scientists and historians, as well as firsthand accounts by computer pioneers, the Annals is the primary publication for recording, analyzing, and debating the history of computing. The Annals also serves as a focal point for people interested in uncovering and preserving the records of this exciting field. The quarterly publication is an active center for the collection and dissemination of information on historical projects and organizations, oral history activities, and international conferences."
IEEE CLOUD COMPUTING,"IEEE Cloud Computing is committed to the timely publication of peer-reviewed articles that provide innovative research ideas, applications results, and case studies in all areas of cloud computing. Topics relating to novel theory, algorithms, performance analyses and applications of techniques are covered. More specifically: Cloud software, Cloud security, Trade-offs between privacy and utility of cloud, Cloud in the business environment, Cloud economics, Cloud governance, Migrating to the cloud, Cloud standards, Development tools, Backup and recovery, Interoperability, Applications management, Data analytics, Communications protocols, Mobile cloud, Private clouds, Liability issues for data loss on clouds, Data integration, Big data, Cloud education, Cloud skill sets, Cloud energy consumption, The architecture of cloud computing, Applications in commerce, education, and industry, Infrastructure as a Service (IaaS), Platform as a Service (PaaS), Software as a Service (SaaS), Business Process as a Service (BPaaS)"
IEEE COMPUTER ARCHITECTURE LETTERS,"IEEE Computer Architecture Letters is a rigorously peer-reviewed forum for publishing early, high-impact results in the areas of uni- and multiprocessor computer systems, computer architecture, microarchitecture, workload characterization, performance evaluation and simulation techniques, and power-aware computing. Submissions are welcomed on any topic in computer architecture, especially but not limited to: microprocessor and multiprocessor systems, microarchitecture and ILP processors,  workload characterization, performance evaluation and simulation techniques, compiler-hardware and operating system-hardware interactions, interconnect architectures, memory and cache systems, power and thermal issues at the architecture level, I/O architectures and techniques, independent validation of previously published results, analysis of unsuccessful techniques,  domain-specific processor architectures (e.g., embedded, graphics, network, etc.), real-time and high-availability architectures, reconfigurable systems.

 

LCA is a semi-annual forum for fast publication of new, high-quality ideas in the form of short, critically refereed, technical papers. Submissions are accepted on a continuing basis, and accepted letters will be published immediately in the IEEE Digital Library and in the next available print issue. Members of the Technical Committee on Computer Architecture will receive the print issue as a benefit of being a member. Authors should submit their manuscript through ScholarOne Manuscripts. "
IEEE COMPUTER GRAPHICS AND APPLICATIONS,"IEEE CG&A bridges the theory and practice of computer graphics. From specific algorithms to full system implementations, CG&A offers a unique combination of peer-reviewed feature articles and informal departments, including product announcements. Special applications sidebars relate research stories to commercial development. A cover story focuses on creative applications of the technology by an artist or designer. Published six times a year, CG&A is indispensable reading for people working at the leading edge of computer graphics technology and its applications in everything from business to the arts."
IEEE DESIGN & TEST,"IEEE Design & Test offers original works describing the models, methods, and tools used to design and test microelectronic systems from devices and circuits to complete systems-on-chip and embedded software. The magazine focuses on current and near-future practice, and includes tutorials, how-to articles, and real-world case studies. The magazine seeks to bring to its readers not only important technology advances but also technology leaders, their perspectives through its columns, interviews, and roundtable discussions. Topics include semiconductor IC design, semiconductor intellectual property blocks, design, verification and test technology, design for manufacturing and yield, embedded software and systems, low-power and energy-efficient design, electronic design automation tools, practical technology, and standards."
IEEE EMBEDDED SYSTEMS LETTERS,"The IEEE Embedded Systems Letters (ESL), provides a forum for rapid dissemination of latest technical advances in embedded systems and related areas in embedded software. The emphasis is on models, methods, and tools that ensure secure, correct, efficient and robust design of embedded systems and their applications."
IEEE INTERNET COMPUTING,"This magazine provides a journal-quality evaluation and review of Internet-based computer applications and enabling technologies. It also provides a source of information as well as a forum for both users and developers. The focus of the magazine is on Internet services using WWW, agents, and similar technologies. This does not include traditional software concerns such as object-oriented or structured programming, or Common Object Request Broker Architecture (CORBA) or Object Linking and Embedding (OLE) standards. The magazine may, however, treat the intersection of these software technologies with the Web or agents. For instance, the linking of ORBs and Web servers or the conversion of KQML messages to object requests are relevant technologies for this magazine. An article strictly about CORBA would not be. This magazine is not focused on intelligent systems. Techniques for encoding knowledge or breakthroughs in neural net technologies are outside its scope, as would be an article on the efficacy of a particular expert system. Internet Computing focuses on technologies and applications that allow practitioners to leverage off services to be found on the Internet. Agents are one technology for doing so, independent of claims about intelligence. In fact, most of the useful agent technology being deployed on the Internet is distinct from the multi-user agent technology developed in the AI world. The latter typically focuses on architectures supporting beliefs, intentions, and other human-like characteristics. Such characteristics are typically not relevant to Internet agents. More important are system engineering issues such as Internet mobility, shared protocols, ontologies, registration, and routing. Network software and hardware per se are not in the scope of this magazine. On the other hand, hardware that permits faster execution of a specific Web technology, such as Java chips, would be covered."
IEEE MICRO,"IEEE Micro addresses users and designers of microprocessors and microprocessor systems, including managers, engineers, consultants, educators, and students involved with computers and peripherals, components and subassemblies, communications, instrumentation and control equipment, and guidance systems. Contributions should relate to the design, performance, or application of microprocessors and microcomputers. Tutorials, review papers, and discussions are also welcome. Sample topic areas include architecture, communications, data acquisition, control, hardware and software design/implementation, algorithms (including program listings), digital signal processing, microprocessor support hardware, operating systems, computer aided design, languages, application software, and development systems."
IEEE MULTIMEDIA,"IEEE MultiMedia contains technical information covering a broad range of issues in multimedia systems and applications. Articles discuss research as well as advanced practice in hardware/software and are expected to span the range from theory to working systems. Especially encouraged are papers discussing experiences with new or advanced systems and subsystems. To avoid unnecessary overlap with existing publications, acceptable papers must have a significant focus on aspects unique to multimedia systems and applications. These aspects are likely to be related to the special needs of multimedia information compared to other electronic data, for example, the size requirements of digital media and the importance of time in the representation of such media. The following list is not exhaustive, but is representative of the topics that are covered: Hardware and software for media compression, coding & processing; Media representations & standards for storage, editing, interchange, transmission & presentation; Hardware platforms supporting multimedia applications; Operating systems suitable for multimedia applications; Storage devices & technologies for multimedia information; Network technologies, protocols, architectures & delivery techniques intended for multimedia; Synchronization issues; Multimedia databases; Formalisms for multimedia information systems & applications; Programming paradigms & languages for multimedia; Multimedia user interfaces; Media creation integration editing & management; Creation & modification of multimedia applications. The primary goal of the magazine is to provide a forum for researchers and practitioners to present new findings and discuss experiences with multimedia systems and applications. In addition, the magazine keeps readers informed of the state of the art in the multimedia arena, including technical trends and research directions."
IEEE SOFTWARE,"IEEE Software delivers reliable, useful, leading-edge software development information to keep engineers and managers abreast of rapid technology change. Its mission is to build the community of leading software practitioners. The authority on translating software theory into practice, this magazine positions itself between pure research and pure practice, transferring ideas, methods, and experiences among researchers and engineers. Peerreviewed articles and columns by seasoned practitioners illuminate all aspects of the industry, including process improvement, project management, development tools, software maintenance, Web applications and opportunities, testing, and usability. The magazine's readers specify, design, document, test, maintain, purchase, engineer, sell, teach, research, and manage the production of software or systems that include software. IEEE Software welcomes articles describing how software is developed in specific companies, laboratories, and university environments as well as articles describing new tools, current trends, and past projects' limitations and failures as well as successes. Sample topics include geographically distributed development; software architectures; program and system debugging and testing; the education of software professionals; requirements, design, development, testing, and management methodologies; performance measurement and evaluation; standards; program and system reliability, security, and verification; programming environments; languages and language-related issues; Web-based development; usability; and software-related social and legal issues."
IEEE TRANSACTIONS ON AFFECTIVE COMPUTING,"The IEEE Transactions on Affective Computing is a cross-disciplinary and international archive journal aimed at disseminating results of research on the design of systems that can recognize, interpret, and simulate human emotions and related affective phenomena. The journal publishes original research on the principles and theories explaining why and how affective factors condition interaction between humans and technology, on how affective sensing and simulation techniques can inform our understanding of human affective processes, and on the design, implementation and evaluation of systems that carefully consider affect among the factors that influence their usability. Surveys of existing work are considered for publication when they propose a new viewpoint on the history and the perspective on this domain. The journal covers but is not limited to the following topics::

Sensing & analysis: Algorithms and features for the recognition of affective state from face and body gestures
Analysis of text and spoken language for emotion recognition
Analysis of prosody and voice quality of affective speech
Recognition of auditory and visual affect bursts
Recognition of affective state from central (e.g. fMRI, EEG) and peripheral (e.g. GSR) physiological measures
Methods for multi-modal recognition of affective state
Recognition of group emotion
Methods of data collection with respect to psychological issues as mood induction and elicitation or technical methodology as motion capturing
Tools and methods of annotation for provision of emotional corpora. (Cyber) psychology & behavior: Clarification of concepts related to ?affective computing? (e.g., emotion, mood, personality, attitude) in ways that facilitate their use in computing
Computational models of human emotion processes (e.g., decision-making models that account for the influence of emotion; predictive models of user emotional state)
Studies on cross-cultural, group and cross-language differences in emotional expression
Contributions to standards and markup language for affective computing. Behavior Generation & User Interaction: Computational models of visual, acoustic and textual emotional expression for synthetic and robotic agents
Models of verbal and nonverbal expression of various forms of affect that facilitate machine implementation
Methods to adapt interaction with technology to the affective state of users
Computational methods for influencing the emotional state of people
New methods for defining and evaluating the usability of affective systems and the role of affect in usability
Methods of emotional profiling and adaptation in mid- to long-term interaction
Application of affective computing including education, health care, entertainment, customer service, design, vehicle operation, social agents/robotics, affective ambient intelligence, customer experience measurement, multimedia retrieval, surveillance systems, biometrics, music retrieval and generation"
IEEE TRANSACTIONS ON CLOUD COMPUTING,"The IEEE Transactions on Cloud Computing (TCC) is dedicated to the multidisciplinary field of cloud computing. It is committed to the publication of articles that present innovative research ideas, application results, and case studies in cloud computing, focusing on key technical issues related to theory, algorithms, systems, applications, and performance."
IEEE TRANSACTIONS ON COMPUTATIONAL INTELLIGENCE AND AI IN GAMES,"The IEEE Transactions on Computational Intelligence and AI in Games (T-CIAIG) publishes archival journal quality original papers in computational intelligence and related areas in artificial intelligence applied to games, including but not limited to videogames, mathematical games, human?computer interactions in games, and games involving physical objects. Emphasis is placed on the use of these methods to improve performance in and understanding of the dynamics of games, as well as gaining insight into the properties of the methods as applied to games. It also includes using games as a platform for building intelligent embedded agents for the real world. Papers connecting games to all areas of computational intelligence and traditional AI are considered."
IEEE TRANSACTIONS ON COMPUTERS,"The IEEE Transactions on Computers is a monthly publication with a wide distribution to researchers, developers, technical managers, and educators in the computer field. It publishes papers on research in areas of current interest to the readers. These areas include, but are not limited to, the following: a) computer organizations and architectures; b) operating systems, software systems, and communication protocols; c) real-time systems and embedded systems; d) digital devices, computer components, and interconnection networks; e) specification, design, prototyping, and testing methods and tools; f) performance, fault tolerance, reliability, security, and testability; g) case studies and experimental and theoretical evaluations; and h) new and important applications and trends.

TC is a scholarly archival journal published monthly. In addition to full papers, brief contributions and comments are also published."
IEEE TRANSACTIONS ON INFORMATION FORENSICS AND SECURITY,"The IEEE Transactions on Information Forensics and Security covers the sciences, technologies, and applications relating to information forensics, information security, biometrics, surveillance and systems applications that incorporate these features."
IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES,"The IEEE Transactions on Learning Technologies covers all advances in learning technologies and their applications, including but not limited to the following topics: innovative online learning systems; intelligent tutors; educational games; simulation systems for education and training; collaborative learning tools; learning with mobile devices; wearable devices and interfaces for learning; personalized and adaptive learning systems; tools for formative and summative assessment; tools for learning analytics and educational data mining; ontologies for learning systems; standards and web services that support learning; authoring tools for learning materials; computer support for peer tutoring; learning via computer-mediated inquiry, field, and lab work; social learning techniques; social networks and infrastructures for learning and knowledge sharing; and creation and management of learning objects."
IEEE TRANSACTIONS ON MULTIMEDIA,"The scope of the Periodical is the various aspects of research in multimedia technology and applications of multimedia, including, but not limited to, circuits, networking, signal processing, systems, software, and systems integration, as represented by the Fields of Interest of the sponsors. "
IEEE TRANSACTIONS ON NETWORK AND SERVICE MANAGEMENT,"IEEE Transactions on Network and Service Management will publish (online only) peerreviewed archival quality papers that advance the state-of-the-art and practical applications of network and service management. Theoretical research contributions (presenting new concepts and techniques) and applied contributions (reporting on experiences and experiments with actual systems) will be encouraged. These transactions will focus on the key technical issues related to: Management Models, Architectures and Frameworks; Service Provisioning, Reliability and Quality Assurance; Management Functions; Enabling Technologies; Information and Communication Models; Policies; Applications and Case Studies; Emerging Technologies and Standards."
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,"IEEE Transactions on Parallel and Distributed Systems (TPDS) is published monthly. It publishes a range of papers, comments on previously published papers, and survey articles that deal with the parallel and distributed systems research areas of current importance to our readers. Particular areas of interest include, but are not limited to:

Parallel and distributed algorithms, focusing on topics such as: models of computation; numerical, combinatorial, and data-intensive parallel algorithms, scalability of algorithms and data structures for parallel and distributed systems, communication and synchronization protocols, network algorithms, scheduling, and load balancing.
Applications of parallel and distributed computing, including computational and data-enabled science and engineering, big data applications, parallel crowd sourcing, large-scale social network analysis, management of big data, cloud and grid computing, scientific and biomedical applications, mobile computing, and cyber-physical systems.
Parallel and distributed architectures, including architectures for instruction-level and thread-level parallelism; design, analysis, implementation, fault resilience and performance measurements of multiple-processor systems; multicore processors, heterogeneous many-core systems; petascale and exascale systems designs; novel big data architectures; special purpose architectures, including graphics processors, signal processors, network processors, media accelerators, and other special purpose processors and accelerators; impact of technology on architecture; network and interconnect architectures; parallel I/O and storage systems; architecture of the memory hierarchy; power-efficient and green computing architectures; dependable architectures; and performance modeling and evaluation.
Parallel and distributed software, including parallel and multicore programming languages and compilers, runtime systems, operating systems, Internet computing and web services, resource management including green computing, middleware for grids, clouds, and data centers, libraries, performance modeling and evaluation, parallel programming paradigms, and programming environments and tools."
IEEE TRANSACTIONS ON SERVICES COMPUTING,"IEEE Transactions on Services Computing emphasizes the algorithmic, mathematical, statistical and computational methods that are central in services computing; the emerging field of Service Oriented Architecture, Web Services, Business Process Integration, Solution Performance Management, Services Operations and Management. "
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"The IEEE Transactions on Software Engineering is an archival journal published monthly. We are interested in well-defined theoretical results and empirical studies that have potential impact on the construction, analysis, or management of software. The scope of this Transactions ranges from the mechanisms through the development of principles to the application of those principles to specific environments. Since the journal is archival, it is assumed that the ideas presented are important, have been well analyzed, and/or empirically validated and are of value to the software engineering research or practitioner community. Specific topic areas include: a) development and maintenance methods and models, e.g., techniques and principles for the specification, design, and implementation of software systems, including notations and process models; b) assessment methods, e.g., software tests and validation, reliability models, test and diagnosis procedures, software redundancy and design for error control, and the measurements and evaluation of various aspects of the process and product; c) software project management, e.g., productivity factors, cost models, schedule and organizational issues, standards; d) tools and environments, e.g., specific tools, integrated tool environments including the associated architectures, databases, and parallel and distributed processing issues; e) system issues, e.g., hardware-software trade-off; and f) state-of-the-art surveys that provide a synthesis and comprehensive review of the historical development of one particular area of interest."
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"TVCG is a scholarly, archival journal published monthly. Its Editorial Board strives to publish papers that present important research results and state-of-the-art seminal papers in computer graphics, visualization, and virtual reality.  Specific topics include, but are not limited to: rendering technologies; geometric modeling and processing; shape analysis; graphics hardware; animation and simulation; perception, interaction and user interfaces; haptics; computational photography; high-dynamic range imaging and display; user studies and evaluation; biomedical visualization; volume visualization and graphics; visual analytics for machine learning; topology-based visualization; visual programming and software visualization; visualization in data science; virtual reality, augmented reality and mixed reality; advanced display technology, (e.g., 3D, immersive and multi-modal displays); applications of computer graphics and visualization."
IET COMPUTERS AND DIGITAL TECHNIQUES,"The key subject areas of interest are:

Design Methods and Tools: CAD/EDA tools, hardware description languages, high-level and architectural synthesis, hardware/software co-design, platform-based design, 3D stacking and circuit design, system on-chip architectures and IP cores, embedded systems, logic synthesis, low-power design and power optimisation.

Simulation, Test and Validation: electrical and timing simulation, simulation based verification, hardware/software co-simulation and validation, mixed-domain technology modelling and simulation, post-silicon validation, power analysis and estimation, interconnect modelling and signal integrity analysis, hardware trust and security, design-for-testability, embedded core testing, system-on-chip testing, on-line testing, automatic test generation and delay testing, low-power testing, reliability, fault modelling and fault tolerance.

Processor and System Architectures: many-core systems, general-purpose and application specific processors, computational arithmetic for DSP applications, arithmetic and logic units, cache memories, memory management, co-processors and accelerators, systems and networks on chip, embedded cores, platforms, multiprocessors, distributed systems, communication protocols and low-power issues.

Configurable Computing: embedded cores, FPGAs, rapid prototyping, adaptive computing, evolvable and statically and dynamically reconfigurable and reprogrammable systems, reconfigurable hardware.

Design for variability, power and aging: design methods for variability, power and aging aware design, memories, FPGAs, IP components, 3D stacking, energy harvesting.

Case Studies: emerging applications, applications in industrial designs, and design frameworks."
IET INFORMATION SECURITY,IET Information Security publishes original research papers in the following areas of information security and cryptography. Submitting authors should specify clearly in their covering statement the area into which their paper falls: Access Control and Database Security; Ad-Hoc Network Aspects; Anonymity and E-Voting; Authentication; Biometrics; Block Ciphers and Hash Functions; Broadcast Encryption and Traitor Tracing; Combinatorial Aspects; Covert Channels and Information Flow; Critical Infrastructures; Cryptanalysis; Dependability; Digital Rights Management; Digital Signature Schemes; Digital Steganography; Economic Aspects of Information Security; Elliptic Curve Cryptography and Number Theory; Embedded Systems Aspects; Embedded Systems Security and Forensics; Financial Cryptography; Firewall Security; Formal Methods and Security Verification; Human Aspects; Information Warfare and Survivability; Intrusion Detection; Java and XML Security; Key Distribution; Key Management and Secret Sharing; Malware; Multi-Party Computation and Threshold Cryptography; Peer-to-peer Security; PKIs; Public-Key and Hybrid Encryption; Quantum Cryptography; Risks of using Computers; Robust Networks; Secure Electronic Commerce; Software Obfuscation; Stream Ciphers; Trust Models; Watermarking and Fingerprinting.
